"X","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness","leaf_mass_per_area","leaf_N_per_dry_mass","seed_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","huber_value","plant_diameter_breast_height","leaf_lifespan","MAT","MAP","n_cells"
9954,"Eucalyptus x nowraensis","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9955,"Eucalyptus oleosa","Eucalyptus","Myrtaceae",95,NA,NA,10,13.8,NA,885,0.937,NA,344,10.6,1.51,NA,NA,NA,300,NA,17.1396094392527,312.960543337646,3093
9956,"Eucalyptus ovata","Eucalyptus","Myrtaceae",127,NA,NA,30,32.5,NA,2250,0.644,NA,213,15,0.698,NA,NA,NA,NA,NA,13.1998406156379,831.145107794361,2416
9957,"Eucalyptus pachycalyx","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.895,NA,NA,NA,5.3,NA,NA,NA,NA,NA,20.7053135890587,1021.6862745098,51
9958,"Eucalyptus parramattensis","Eucalyptus","Myrtaceae",135,NA,NA,15,22.5,NA,NA,0.718,NA,205,10.8,0.137,NA,NA,NA,NA,NA,16.7373168333521,937.264150943396,159
9959,"Eucalyptus radiata","Eucalyptus","Myrtaceae",115,NA,NA,40,13,NA,1110,0.598,NA,133,15.5,1.92,1.6,NA,NA,NA,NA,12.4074954217134,984.285117325619,3113
9960,"Eucalyptus rubida","Eucalyptus","Myrtaceae",148,NA,NA,40,18.8,NA,2660,0.586,NA,161,12.5,1.5,0.814,514,0.000122,NA,NA,11.597619309117,890.423383084577,2010
9961,"Eucalyptus triantha","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9962,"Eucalyptus wandoo","Eucalyptus","Myrtaceae",NA,NA,NA,NA,NA,NA,1470,0.937,NA,283,9.8,2.27,NA,NA,NA,NA,NA,17.0183297310086,549.919889502762,362
9963,"Eucryphia lucida","Eucryphia","Cunoniaceae",38.6,0.829,1.57,30,13.4,1.5,404,0.6,0.244,112,8.53,1.18,0.473,NA,NA,NA,NA,9.81900050545816,1798.14689265537,177
9964,"Eugenia sp. [Eugenia indet; Ilic_2000]","Eugenia","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9965,"Eugenia ventenatii","Eugenia","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9966,"Excoecaria parvifolia","Excoecaria","Euphorbiaceae",31,NA,5,7,13,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2548298385013,821.400497512438,402
9967,"Ficus glomerata","Ficus","Moraceae",NA,NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9968,"Ficus infectoria","Ficus","Moraceae",NA,NA,NA,NA,NA,NA,NA,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9969,"Garcinia sp. [Garcinia indet; Ilic_2000]","Garcinia","Clusiaceae",NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9970,"Glochidion perakense","Glochidion","Phyllanthaceae",NA,NA,NA,5,NA,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9971,"Gyrostemon ramulosus","Gyrostemon","Gyrostemonaceae",50,NA,NA,5,NA,NA,NA,0.396,NA,NA,NA,1.35,NA,NA,NA,NA,NA,21.0608842727986,289.620060790274,329
9972,"Halfordia drupifera","Halfordia","Rutaceae",NA,NA,NA,NA,NA,NA,NA,0.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9973,"Jagera sp. [Jagera indet; Ilic_2000]","Jagera","Sapindaceae",NA,NA,NA,NA,NA,NA,NA,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9974,"Lepiderema sp. [Lepiderema indet; Ilic_2000]","Lepiderema","Sapindaceae",NA,NA,NA,NA,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9975,"Lomatia sp. [Lomatia indet; Ilic_2000]","Lomatia","Proteaceae",NA,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9976,"Lysicarpus angustifolius","Lysicarpus","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.689,NA,NA,NA,0.517,NA,NA,NA,NA,NA,20.3192390573436,678.358620689655,145
9977,"Melaleuca glomerata","Melaleuca","Myrtaceae",31.2,NA,NA,8,1.5,NA,NA,0.672,NA,NA,NA,0.139,NA,NA,NA,NA,NA,22.1198679785846,289.871024734982,566
9978,"Melicope sp. [Melicope indet; Ilic_2000]","Melicope","Rutaceae",NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9979,"Memecylon australe","Memecylon","Melastomataceae",NA,NA,NA,NA,NA,NA,NA,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9980,"Neonauclea sp. [Neonauclea indet; Ilic_2000]","Neonauclea","Rubiaceae",NA,NA,NA,NA,NA,NA,NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9981,"Petalostigma quadriloculare","Petalostigma","Picrodendraceae",46,NA,NA,1.5,30,NA,874,0.814,NA,186,6.14,27.3,0.233,517,NA,NA,NA,26.9640796116789,1135.5798376184,1479
9982,"Nematolepis squamea","Nematolepis","Rutaceae",74.2,1.22,1.61,12,17,NA,901,0.688,0.315,131,NA,1.5,NA,NA,NA,NA,NA,13.235379921211,1309.53846153846,548
9983,"Planchonella arnhemica","Planchonella","Sapotaceae",100,7.5,12,10,72.5,4.5,NA,0.633,NA,NA,NA,155,NA,NA,NA,NA,NA,27.0882053334314,1255.58154506438,466
9984,"Pouteria sp. [Pouteria indet; Ilic_2000]","Pouteria","Sapotaceae",NA,NA,NA,NA,NA,NA,NA,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9985,"Pleioluma laurifolia","Pleioluma","Sapotaceae",138,NA,12,20,47.5,NA,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9828578724581,1478.5,34
9986,"Psydrax latifolia","Psydrax","Rubiaceae",NA,NA,NA,4,NA,NA,NA,0.722,NA,287,14,NA,0.574,468,NA,NA,NA,NA,NA,NA
9987,"Psydrax odorata","Psydrax","Rubiaceae",NA,NA,NA,15,NA,NA,NA,0.87,NA,126,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA
9988,"Psydrax suaveolens","Psydrax","Rubiaceae",NA,NA,NA,3,NA,NA,NA,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3907370613617,285.567961165049,206
9989,"Rhodamnia acuminata","Rhodamnia","Myrtaceae",95,1.5,2,20,55,NA,1800,0.801,NA,100,NA,1.34,NA,NA,NA,NA,NA,20.8454076978895,1297.2962962963,27
9990,"Rhodamnia glauca","Rhodamnia","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1927086198834,1898.91549295775,71
9991,"Sarcomelicope simplicifolia","Sarcomelicope","Rutaceae",100,3.5,6,18,47,NA,3960,0.749,NA,67,NA,13,NA,NA,NA,NA,NA,17.7945252552032,1301.678,504
9992,"Brachychiton diversifolius subsp. orientalis","Brachychiton","Malvaceae",NA,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9993,"Streblus brunoniana","Streblus","Moraceae",NA,NA,NA,NA,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9994,"Syncarpia hillii","Syncarpia","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.684,NA,NA,NA,1.23,NA,NA,NA,NA,NA,19.6354920523507,1403,7
9995,"Synoum glandulosum subsp. paniculosum","Synoum","Meliaceae",75,7.5,14,20,35,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9996,"Syzygium dictyophlebium","Syzygium","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9997,"Syzygium sp. [Syzygium indet; Ilic_2000]","Syzygium","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9998,"Xanthostemon oppositifolius","Xanthostemon","Myrtaceae",85,1.5,2.5,25,32.5,NA,2680,0.964,NA,142,NA,4.66,NA,NA,NA,NA,NA,20.2180370754666,1365.11111111111,18
9999,"Abrotanella forsteroides","Abrotanella","Asteraceae",NA,0.634,1.19,NA,NA,NA,1190,NA,NA,NA,NA,0.397,NA,NA,NA,NA,NA,6.63129491072435,1477.33333333333,39
10000,"Abrotanella scapigera","Abrotanella","Asteraceae",NA,0.594,1.48,0.08,NA,NA,1190,NA,NA,NA,NA,0.501,NA,NA,NA,NA,NA,7.87726733088493,2016.22916666667,48
10001,"Acacia longifolia subsp. sophorae","Acacia","Fabaceae",NA,2.36,5.02,5,NA,NA,2830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,"Acacia verticillata","Acacia","Fabaceae",18.8,1.1,2.83,10,3.37,NA,52.5,0.641,NA,145,19.9,8.96,0.6,NA,NA,NA,NA,13.2679196545293,895.748540637629,2231
10003,"Acaena montana","Acaena","Rosaceae",NA,1.5,2,NA,NA,NA,79.8,NA,NA,NA,NA,0.902,NA,NA,NA,NA,NA,6.920177542645,1600.0652173913,46
10004,"Acaena pallida","Acaena","Rosaceae",NA,2,3,0.1,NA,NA,79.8,NA,NA,NA,NA,2.32,NA,NA,NA,NA,NA,12.1124221086502,1257.5,17
10005,"Chordifex hookeri","Chordifex","Restionaceae",NA,1,2,0.2,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1988786827434,1803.18181818182,112
10006,"Chordifex monocephalus","Chordifex","Restionaceae",NA,0.8,1.1,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9898159371482,1557.86111111111,36
10007,"Acrotriche cordata","Acrotriche","Ericaceae",10.2,2.25,3.38,1,3.6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,16.0004497762637,480.582524271845,310
10008,"Acrotriche serrulata","Acrotriche","Ericaceae",9.25,1.5,2.25,0.6,1.4,NA,11.8,NA,NA,154,NA,3.64,NA,NA,NA,NA,NA,12.9289586552707,849.601038961039,3852
10009,"Actinotus bellidioides","Actinotus","Apiaceae",NA,1.5,2,0.1,NA,NA,2070,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,9.68157550384258,2044.63793103448,58
10010,"Actinotus moorei","Actinotus","Apiaceae",NA,0.4,2,0.1,NA,NA,2070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71156092312025,2171.36956521739,46
10011,"Actinotus suffocatus","Actinotus","Apiaceae",NA,1,1,0.1,NA,NA,2070,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,8.27860840797424,2031.26,50
10012,"Actites megalocarpa","Actites","Asteraceae",116,2,6,1,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,"Agrostis aequata","Agrostis","Poaceae",NA,1,1.5,0.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,"Agrostis sp. [Agrostis aff_australiensis; Jordan_2001]","Agrostis","Poaceae",NA,1.1,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,"Agrostis sp. [Agrostis aff_parviflora; Jordan_2001]","Agrostis","Poaceae",NA,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10016,"Agrostis billardierei","Agrostis","Poaceae",NA,2,3.5,0.75,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,"Agrostis lacunarum","Agrostis","Poaceae",NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,"Lachnagrostis morrisii","Lachnagrostis","Poaceae",NA,1,2.25,0.8,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62298541069031,1515.03333333333,30
10019,"Allocasuarina duncanii","Allocasuarina","Casuarinaceae",5.75,0.785,3.61,8,1.08,NA,NA,NA,NA,NA,NA,2.28,NA,NA,NA,NA,NA,9.34692233403524,1105.73333333333,15
10020,"Almaleea subumbellata","Almaleea","Fabaceae",10.2,0.471,1.57,1.2,1.75,NA,18.8,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,10.7809162554534,1078.48369565217,184
10021,"Nablonium calyceroides","Nablonium","Asteraceae",NA,1,6,NA,NA,NA,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022,"Amphibolis antarctica","Amphibolis","Cymodoceaceae",33.2,5,120,1.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3156763712565,678.077777777778,97
10023,"Amphibromus archeri","Amphibromus","Poaceae",NA,1.6,8,1.2,3.25,NA,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.480381954007,780.341463414634,205
10024,"Angianthus preissianus","Angianthus","Asteraceae",8,0.3,0.7,0.3,1.5,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,15.2616603919438,586.471428571429,280
10025,"Anisotome procumbens","Anisotome","Apiaceae",NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,7.33754486304063,1987.73076923077,26
10026,"Anopterus glandulosus","Anopterus","Escalloniaceae",155,1.14,3.32,10,31.4,NA,3090,0.59,0.44,107,11,0.895,0.92,NA,NA,NA,NA,9.99714375734329,1753.35,161
10027,"Apalochlamys spectabilis","Apalochlamys","Asteraceae",85,0.3,0.7,2,22.5,NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1349557664659,782.022222222222,90
10028,"Aphanes australiana","Aphanes","Rosaceae",NA,1.5,2,0.1,NA,NA,335,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,14.1224036581576,663.0871886121,562
10029,"Aphelia gracilis","Aphelia","Centrolepidaceae",17.5,0.3,0.9,0.04,NA,NA,19.6,NA,NA,NA,NA,0.0711,NA,NA,NA,NA,NA,13.6042449706776,696.99721448468,359
10030,"Apodasmia brownii","Apodasmia","Restionaceae",NA,0.5,2,1.5,NA,NA,694,NA,NA,NA,NA,0.816,NA,NA,NA,NA,NA,14.0788075192636,693.691176470588,478
10031,"Archeria comberi","Archeria","Ericaceae",4,0.297,0.891,1,3,NA,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1626443862915,1899.86666666667,15
10032,"Argentipallium dealbatum","Argentipallium","Asteraceae",NA,1.26,3.92,0.9,NA,NA,192,NA,NA,NA,NA,0.258,NA,NA,NA,NA,NA,11.7778950012647,1027.34615384615,104
10033,"Asperula charophyton","Asperula","Rubiaceae",17.5,1.5,3.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.454631897711,796.774193548387,31
10034,"Asperula gunnii","Asperula","Rubiaceae",6,1.5,1.5,0.432,1.67,NA,7.95,NA,NA,46.9,NA,2.14,NA,NA,NA,NA,NA,9.37656542687929,1194.05211726384,614
10035,"Asperula minima","Asperula","Rubiaceae",NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4331980641683,774.133333333333,75
10036,"Asperula pusilla","Asperula","Rubiaceae",20,1.5,2,0.1,1,NA,9.42,NA,NA,NA,NA,0.792,NA,NA,NA,NA,NA,8.47866905076163,1222.23928571429,280
10037,"Asperula scoparia","Asperula","Rubiaceae",5.5,1.5,2,0.15,0.65,NA,2.25,NA,NA,98.3,NA,NA,NA,NA,NA,NA,NA,11.3983716442556,978.203168685927,2146
10038,"Asperula subsimplex","Asperula","Rubiaceae",6,1,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1147384458973,762.154838709677,155
10039,"Asterotrichion discolor","Asterotrichion","Malvaceae",150,3,4,14,55,NA,1960,NA,NA,NA,NA,4.66,NA,NA,NA,NA,NA,11.0102894117958,732.25,76
10040,"Astroloma pinifolium","Astroloma","Ericaceae",21.2,4.5,6,1,0.6,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10041,"Atriplex australasica","Atriplex","Chenopodiaceae",7.5,0.628,1.41,1,NA,NA,NA,NA,NA,NA,NA,0.935,NA,NA,NA,NA,NA,15.9589006818574,892.158620689655,147
10042,"Atriplex billardierei","Atriplex","Chenopodiaceae",9,2.5,4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9796661218007,832.583333333333,61
10043,"Atriplex cinerea","Atriplex","Chenopodiaceae",46.5,3.88,7,2,16.3,NA,1570,NA,NA,NA,NA,9.85,NA,NA,NA,NA,NA,15.5218406427102,653.644808743169,378
10044,"Atriplex paludosa","Atriplex","Chenopodiaceae",30.3,5,8,1.6,8.83,NA,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0125873389545,406.175675675676,447
10045,"Atriplex suberecta","Atriplex","Chenopodiaceae",26.5,1.75,2.5,0.6,15,NA,NA,NA,NA,NA,NA,0.822,NA,NA,NA,NA,NA,17.1381870354546,400.76,675
10046,"Austrostipa aphylla","Austrostipa","Poaceae",NA,2,8,0.9,NA,NA,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2835517551588,805,23
10047,"Ballantinia antipoda","Ballantinia","Brassicaceae",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,12.3134614871098,768.153846153846,13
10048,"Barbarea australis","Barbarea","Brassicaceae",NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.482,NA,NA,NA,NA,NA,9.31051963918349,1125.70588235294,17
10049,"Machaerina arthrophylla","Machaerina","Cyperaceae",625,1.8,2.25,2,1.75,NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1660930179529,836.51637279597,398
10050,"Baumea articulata","Baumea","Cyperaceae",1700,2.2,3,2.6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10051,"Baumea gunnii","Baumea","Cyperaceae",NA,2.8,3,1,NA,NA,935,NA,NA,NA,NA,1.71,NA,NA,NA,NA,NA,NA,NA,NA
10052,"Machaerina planifolia","Machaerina","Cyperaceae",NA,1,1.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4370924018952,981,83
10053,"Machaerina tetragona","Machaerina","Cyperaceae",NA,1.5,1.75,1,NA,NA,1160,NA,NA,NA,NA,0.942,NA,NA,NA,NA,NA,13.5245808136172,1011.82682926829,410
10054,"Bedfordia linearis","Bedfordia","Asteraceae",150,1.5,2.5,5,35,NA,2200,0.77,NA,167,NA,0.834,NA,NA,NA,NA,NA,9.39513959413693,1092,81
10055,"Bertya rosmarinifolia","Bertya","Euphorbiaceae",17.5,2.36,4.71,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6626640577165,792.730158730159,63
10056,"Billardiera longiflora","Billardiera","Pittosporaceae",46.2,1.5,2,2.4,8,NA,393,NA,NA,NA,NA,2.21,NA,NA,NA,NA,NA,11.1494012316676,1240.98609179416,722
10057,"Bolboschoenus caldwellii","Bolboschoenus","Cyperaceae",315,2.5,3.5,1.2,4.25,NA,1370,NA,NA,NA,NA,3.52,NA,NA,NA,NA,NA,16.6153696406971,634.524242424242,665
10058,"Bolboschoenus medianus","Bolboschoenus","Cyperaceae",NA,2.5,3.5,2,7.75,NA,NA,NA,NA,NA,NA,5.52,NA,NA,NA,NA,NA,14.6515056710494,616.987616099071,323
10059,"Boronia citriodora","Boronia","Rutaceae",12.2,1.1,2.04,3,1.88,NA,17.7,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,8.45547760419609,1740.15702479339,121
10060,"Boronia nana","Boronia","Rutaceae",14.4,1.5,2,25,2.06,NA,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10061,"Boronia pilosa","Boronia","Rutaceae",8.33,1,2,3,1.6,NA,69.2,NA,NA,NA,NA,0.498,NA,NA,NA,NA,NA,12.5505304914532,843.06734006734,299
10062,"Bossiaea cinerea","Bossiaea","Fabaceae",15.2,0.785,2.04,2,5.25,NA,48.5,0.812,NA,109,19.3,11.2,0.47,535,0.00022,NA,NA,13.4214088211126,822.514886164623,573
10063,"Bossiaea cordigera","Bossiaea","Fabaceae",6,0.785,2.36,2,7,NA,33,NA,NA,NA,NA,2.34,NA,NA,NA,NA,NA,NA,NA,NA
10064,"Bossiaea prostrata","Bossiaea","Fabaceae",16,0.785,2.04,1.5,10,NA,188,NA,NA,NA,NA,2.79,NA,NA,NA,NA,NA,13.5427495490764,816.816947758124,2431
10065,"Bossiaea riparia","Bossiaea","Fabaceae",0.825,0.785,2.04,1,1,NA,0.785,NA,NA,NA,NA,2.86,NA,NA,NA,NA,NA,10.6962731740751,845.46408839779,181
10066,"Centropappus brunonis","Centropappus","Asteraceae",90,1.1,6.28,5,15,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,9.1717333316803,1006.6,10
10067,"Brachyloma ciliatum","Brachyloma","Ericaceae",10.6,2.02,2.02,0.5,2.72,NA,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.440662318404,726.331182795699,465
10068,"Brachyscome willisii","Brachyscome","Asteraceae",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.202,NA,NA,NA,NA,NA,12.7866451894083,922.387096774194,124
10069,"Allittia cardiocarpa","Allittia","Asteraceae",200,1.5,3,0.45,2,NA,1390,NA,NA,NA,NA,0.369,NA,NA,NA,NA,NA,NA,NA,NA
10070,"Brachyscome diversifolia","Brachyscome","Asteraceae",63.4,1.5,3,0.45,2.33,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,12.9300671303072,883.368715083799,361
10071,"Brachyscome graminea","Brachyscome","Asteraceae",85,1.5,3,0.7,4.5,NA,770,NA,NA,NA,NA,0.436,NA,NA,NA,NA,NA,13.8402577081107,888.815589353612,530
10072,"Brachyscome parvula","Brachyscome","Asteraceae",60,0.7,1.5,0.45,NA,NA,NA,NA,NA,NA,NA,0.0795,NA,NA,NA,NA,NA,13.9121846098649,695.557894736842,190
10073,"Brachyscome radicans","Brachyscome","Asteraceae",100,1.5,3,0.3,2,NA,NA,NA,NA,NA,NA,0.313,NA,NA,NA,NA,NA,9.09051210265006,1017.15322580645,124
10074,"Brachyscome radicata","Brachyscome","Asteraceae",NA,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61995816230774,1192.5,4
10075,"Brachyscome spathulata","Brachyscome","Asteraceae",22.5,1.5,3,0.6,6,NA,538,NA,NA,77.8,NA,0.302,NA,NA,NA,NA,NA,10.7857888049141,1016.77981651376,1200
10076,"Brachyscome tadgellii","Brachyscome","Asteraceae",NA,1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,6.84827589166575,1520.65517241379,29
10077,"Brachyscome tenuiscapa","Brachyscome","Asteraceae",60,1,1.6,0.26,12,NA,1410,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,8.99825836022695,1269.3,60
10078,"Xerochrysum bicolor","Xerochrysum","Asteraceae",NA,0.785,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6932569231306,913.285714285714,7
10079,"Xerochrysum papillosum","Xerochrysum","Asteraceae",NA,0.785,2.36,0.9,NA,NA,350,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA
10080,"Xerochrysum subundulatum","Xerochrysum","Asteraceae",75,1.5,3,0.6,9,NA,1570,NA,NA,94.2,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA
10081,"Calandrinia calyptrata","Calandrinia","Portulacaceae",21.9,0.3,0.6,0.3,4.08,NA,192,NA,NA,NA,NA,0.0969,NA,NA,NA,NA,NA,NA,NA,NA
10082,"Callistemon pallidus","Callistemon","Myrtaceae",60,0.251,1.41,8,13.5,NA,434,0.749,NA,177,12,0.0588,0.511,567,0.000157,NA,NA,NA,NA,NA
10083,"Callitriche brachycarpa","Callitriche","Plantaginaceae",NA,0.7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5026922225952,1093.23076923077,13
10084,"Callitriche sonderi","Callitriche","Plantaginaceae",1.25,0.35,0.5,0.05,0.55,NA,NA,NA,NA,NA,NA,0.0224,NA,NA,NA,NA,NA,17.1106242725556,509.609625668449,187
10085,"Callitriche umbonata","Callitriche","Plantaginaceae",7.5,1,1,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7265442230485,555.534090909091,88
10086,"Calocephalus citreus","Calocephalus","Asteraceae",37,0.3,0.8,0.6,1.5,NA,31.4,NA,NA,NA,NA,0.092,NA,NA,NA,NA,NA,14.33197466167,574.499361430396,1566
10087,"Calocephalus lacteus","Calocephalus","Asteraceae",30,0.4,1,0.7,2.75,NA,NA,NA,NA,81.7,NA,0.529,NA,NA,NA,NA,NA,13.3412365199876,660.182481751825,549
10088,"Calorophus elongatus","Calorophus","Restionaceae",NA,2,3,2.5,NA,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1929208338261,1556.90625,97
10089,"Calorophus erostris","Calorophus","Restionaceae",NA,1.8,3,NA,NA,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96769572628869,2162.33333333333,36
10090,"Calystegia soldanella","Calystegia","Convolvulaceae",28.3,3,4.5,0.13,40,NA,NA,NA,NA,NA,NA,51.5,NA,NA,NA,NA,NA,16.1608404483435,1067.57547169811,108
10091,"Cardamine astoniae","Cardamine","Brassicaceae",NA,1.5,2,0.4,NA,NA,NA,NA,NA,NA,NA,0.681,NA,NA,NA,NA,NA,8.67264558227969,1390.54929577465,71
10092,"Cardamine franklinensis","Cardamine","Brassicaceae",NA,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36861730504919,1139.51851851852,27
10093,"Cardamine gunnii","Cardamine","Brassicaceae",NA,0.5,1.2,0.25,NA,NA,78.5,NA,NA,NA,NA,0.152,NA,NA,NA,NA,NA,10.7141134232048,1024.29921259843,127
10094,"Cardamine lilacina","Cardamine","Brassicaceae",NA,0.471,0.628,0.5,NA,NA,90.1,NA,NA,51.5,NA,0.556,NA,NA,NA,NA,NA,9.2527102702806,1205.40336134454,238
10095,"Cardamine papillata","Cardamine","Brassicaceae",NA,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.507582337768,981.703703703704,108
